Question,Option A,Option B,Option C,Option D,Correct Answer,Marks
What is the normal resting heart rate for adults?,40-50 bpm,60-100 bpm,110-130 bpm,140-160 bpm,B,2
Dummy Physiology Question 2,Option A,Option B,Option C,Option D,A,2
Dummy Physiology Question 3,Option A,Option B,Option C,Option D,A,2
Dummy Physiology Question 4,Option A,Option B,Option C,Option D,A,2
Dummy Physiology Question 5,Option A,Option B,Option C,Option D,A,2
Dummy Physiology Question 6,Option A,Option B,Option C,Option D,A,2
Dummy Physiology Question 7,Option A,Option B,Option C,Option D,A,2
Dummy Physiology Question 8,Option A,Option B,Option C,Option D,A,2
Dummy Physiology Question 9,Option A,Option B,Option C,Option D,A,2
Dummy Physiology Question 10,Option A,Option B,Option C,Option D,A,2
Dummy Physiology Question 11,Option A,Option B,Option C,Option D,A,2
Dummy Physiology Question 12,Option A,Option B,Option C,Option D,A,2
Dummy Physiology Question 13,Option A,Option B,Option C,Option D,A,2
Dummy Physiology Question 14,Option A,Option B,Option C,Option D,A,2
Dummy Physiology Question 15,Option A,Option B,Option C,Option D,A,2
Dummy Physiology Question 16,Option A,Option B,Option C,Option D,A,2
Dummy Physiology Question 17,Option A,Option B,Option C,Option D,A,2
Dummy Physiology Question 18,Option A,Option B,Option C,Option D,A,2
Dummy Physiology Question 19,Option A,Option B,Option C,Option D,A,2
Dummy Physiology Question 20,Option A,Option B,Option C,Option D,A,2
