Question,Option A,Option B,Option C,Option D,Correct Answer,Marks
What is the most common cause of community-acquired pneumonia?,Staphylococcus aureus,Streptococcus pneumoniae,Klebsiella,Mycoplasma,B,2
Which marker is most specific for acute myocardial infarction?,Myoglobin,CK-MB,Troponin I/T,LDH,C,2
What is the gold standard diagnostic test for pulmonary embolism?,ECG,Chest X-Ray,CT Pulmonary Angiography,D-dimer,C,2
Outline the management of a patient presenting with acute asthma exacerbation.,,,,Subjective,5
Dummy General Medicine Final Year Question 5,Option A,Option B,Option C,Option D,A,2
Dummy General Medicine Final Year Question 6,Option A,Option B,Option C,Option D,A,2
Dummy General Medicine Final Year Question 7,Option A,Option B,Option C,Option D,A,2
Dummy General Medicine Final Year Question 8,Option A,Option B,Option C,Option D,A,2
Dummy General Medicine Final Year Question 9,Option A,Option B,Option C,Option D,A,2
Dummy General Medicine Final Year Question 10,Option A,Option B,Option C,Option D,A,2
Dummy General Medicine Final Year Question 11,Option A,Option B,Option C,Option D,A,2
Dummy General Medicine Final Year Question 12,Option A,Option B,Option C,Option D,A,2
Dummy General Medicine Final Year Question 13,Option A,Option B,Option C,Option D,A,2
Dummy General Medicine Final Year Question 14,Option A,Option B,Option C,Option D,A,2
Dummy General Medicine Final Year Question 15,Option A,Option B,Option C,Option D,A,2
Dummy General Medicine Final Year Question 16,Option A,Option B,Option C,Option D,A,2
Dummy General Medicine Final Year Question 17,Option A,Option B,Option C,Option D,A,2
Dummy General Medicine Final Year Question 18,Option A,Option B,Option C,Option D,A,2
Dummy General Medicine Final Year Question 19,Option A,Option B,Option C,Option D,A,2
Dummy General Medicine Final Year Question 20,Option A,Option B,Option C,Option D,A,2
