Question,Option A,Option B,Option C,Option D,Correct Answer,Marks
What is the normal resting heart rate for adults?,40-50 bpm,60-100 bpm,110-130 bpm,140-160 bpm,B,2
Which organ is primarily responsible for blood filtration?,Liver,Lungs,Kidneys,Heart,C,2
What is the longest bone in the human body?,Tibia,Fibula,Femur,Humerus,C,2
Describe the process of cellular respiration.,,,,Subjective,5
Which vitamin is produced when skin is exposed to sunlight?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,D,2
Sample Question 6,Option A,Option B,Option C,Option D,A,2
Sample Question 7,Option A,Option B,Option C,Option D,A,2
Sample Question 8,Option A,Option B,Option C,Option D,A,2
Sample Question 9,Option A,Option B,Option C,Option D,A,2
Sample Question 10,Option A,Option B,Option C,Option D,A,2
Sample Question 11,Option A,Option B,Option C,Option D,A,2
Sample Question 12,Option A,Option B,Option C,Option D,A,2
Sample Question 13,Option A,Option B,Option C,Option D,A,2
Sample Question 14,Option A,Option B,Option C,Option D,A,2
Sample Question 15,Option A,Option B,Option C,Option D,A,2
Sample Question 16,Option A,Option B,Option C,Option D,A,2
Sample Question 17,Option A,Option B,Option C,Option D,A,2
Sample Question 18,Option A,Option B,Option C,Option D,A,2
Sample Question 19,Option A,Option B,Option C,Option D,A,2
Sample Question 20,Option A,Option B,Option C,Option D,A,2
